USERID,TEXT,DATE,COORD
6.03E+17,If u left your car on a freeway or road u can go to http://t.co/q8jPhziKxm #houstonflood _üôè_üôè,Tue May 26 17:59:24 +0000 2015,"[29.772045,-95.330663]"
6.03E+17,no school for this kid cuz #houstonflood @ Fountain View Cafe https://t.co/li9AxJODBw,Tue May 26 18:06:58 +0000 2015,"[29.748223,-95.486223]"
6.03E+17,Memorial Drive just west of downtown #Houstonflood #HTX #mommydaughter #cycling #tandem @ Memorial Drive https://t.co/C9aCm6XsHk,Tue May 26 18:07:10 +0000 2015,"[29.762581,-95.401927]"
6.03E+17,http://t.co/w4q3yXKCiB #prophecy #charliecharliechallenge #JESUS #houstonflood #BeyonceAlwaysOnBeat #BreloVerdict #Chicago #JESUSisLORD @TBN,Tue May 26 18:22:05 +0000 2015,"[25.775653,-80.139091]"
6.03E+17,Little cypress creek #houstonflood #dji #djiphantom @ Lakes of Fairhaven https://t.co/5nakHKwYMW,Tue May 26 18:29:53 +0000 2015,"[30.023457,-95.747173]"
6.03E+17,Spotted on Parkwood. #BeyIsSafe #houstonflood #surfbort @ Parkwood https://t.co/6Eea4AtthL,Tue May 26 18:38:29 +0000 2015,"[29.940353,-95.380055]"
6.03E+17,The things that wash up. #williebracelet #braysbayou #houstonflood @ McDonald's at 5911 S Braeswood Blvd https://t.co/jfK4xsTNvp,Tue May 26 18:42:17 +0000 2015,"[29.677471,-95.493903]"
6.03E+17,#braysbayou #houstonflood #houstonweather #meyerland #braeswood #houston #texas @ Braes Bayou‚Ä¶ https://t.co/3oucTn3cis,Tue May 26 18:44:54 +0000 2015,"[29.675803,-95.508331]"
6.03E+17,#leaves are hinting us #flood #design #houstonflood #weather #Houston #texas @ Rice Village at West‚Ä¶ https://t.co/VYAGOZ9zkJ,Tue May 26 18:45:20 +0000 2015,"[29.716623,-95.41714]"
6.03E+17,#hfd #houstonflood #houstonweather #braysbayou #braeswood #meyerland #houston #texas @ Braes Bayou‚Ä¶ https://t.co/TxZgWlW32O,Tue May 26 18:46:33 +0000 2015,"[29.675803,-95.508331]"
6.03E+17,#braysbayou #braeswood #meyerland #houstonflood #houwx #houstonweather #houston #texas @ Braes Bayou‚Ä¶ https://t.co/c6g8IGlgH7,Tue May 26 18:48:50 +0000 2015,"[29.675803,-95.508331]"
6.03E+17,#braysbayou #braeswood #meyerland #houstonflood #houwx #houstonweather #houston #texas #cloudporn‚Ä¶ https://t.co/WquWJ9znFr,Tue May 26 18:51:15 +0000 2015,"[29.675803,-95.508331]"
6.03E+17,Street in front of our house #houstonflood http://t.co/6zFMJlfTIm,Tue May 26 18:52:49 +0000 2015,"[29.708844,-95.402786]"
6.03E+17,#houstonflood #braysbayou #braeswood #meyerland #houston #texas #waterflowing @ Myerland Area https://t.co/iVoAF0KTDA,Tue May 26 18:57:06 +0000 2015,"[29.673929,-95.506577]"
6.03E+17,#houstonflood http://t.co/G1lTMSYbj4,Tue May 26 18:59:50 +0000 2015,"[29.720331,-95.381979]"
6.03E+17,#KPRC on the scene. #click2houston #braysbayou #braeswood #meyerland #houstonflood #houstonweather‚Ä¶ https://t.co/8WpX6lgqNQ,Tue May 26 19:00:07 +0000 2015,"[29.677471,-95.493903]"
6.03E+17,"One more #Houstonflood post -- body of water just behind Alden is Allen Pkwy, my daily route to work‚Ä¶ https://t.co/JpPB9zQY3M",Tue May 26 19:22:58 +0000 2015,"[29.761612,-95.402626]"
6.03E+17,Waiting on the next round of rain in style thanks to @uking3. #houstonflood #wine #patioflow @‚Ä¶ https://t.co/pk6720T3Pu,Tue May 26 19:23:44 +0000 2015,"[29.7629,-95.3832]"
6.03E+17,When people from Texas deny climate change and then get flooded _üê_‚òïÔ_è #houstonflood,Tue May 26 19:27:34 +0000 2015,"[22.319897,114.185074]"
6.03E+17,#houstonflood @ Brays Bayou https://t.co/MBUE285bUC,Tue May 26 19:28:14 +0000 2015,"[29.677131,-95.481756]"
6.03E+17,"heh @CapitalFM_kenya: #Houston submerged as wild weather kills 20 in US, Mexico #houstonflood http://t.co/FwmaR7dAZm http://t.co/obH5YjeUkA",Tue May 26 19:30:40 +0000 2015,"[-1.315315,36.892604]"
6.03E+17,Braes Bayou Trail @ South FWY/MacGregor Way #houstonflood #HoustonFlooding #HoustonFloods #houstonweather #htxflood http://t.co/xqnK3NyI0g,Tue May 26 19:41:17 +0000 2015,"[29.713449,-95.376218]"
6.03E+17,Isn't that the super dome.... RT @astrosguy: Areas around Reliant Stadium completely under water. #houstonflood http://t.co/1Ljm2ywfR7,Tue May 26 19:45:37 +0000 2015,"[33.848014,-84.373528]"
6.03E+17,#htxflood #houstonflood #houstonflooding #houstonfloods #southfwy #macgregorway @ South Fwy/MacGregor‚Ä¶ https://t.co/gnK1sNvwKC,Tue May 26 19:46:06 +0000 2015,"[29.713128,-95.379067]"
6.03E+17,My backyard...This is normally a stream about 2ft across and 20 ft lower....yikes! #houstonflood‚Ä¶ https://t.co/kcTilgiw6n,Tue May 26 20:01:19 +0000 2015,"[29.478292,-95.608887]"
6.03E+17,You shall not pass. #houstonflood @ Bear Creek Park https://t.co/Pz5HNv32FT,Tue May 26 15:27:31 +0000 2015,"[29.827666,-95.615199]"
6.03E+17,Hwy 288 is a river. @ Houstonflood https://t.co/j6Zf1TCSOT,Tue May 26 15:29:58 +0000 2015,"[29.71317,-95.379228]"
6.03E+17,Lake 288 #houstonflood @ Macgregor N &amp; 288 https://t.co/52ButvE8p9,Tue May 26 15:31:01 +0000 2015,"[29.71308,-95.379786]"
